identity_key,primary_candidate,merged_away,legacy_ids,titles
"issn_l:1391-4987",CAND-014083,"CAND-021060","j-disc-issn-2424-6271;j-disc-issn-1391-4987","Sri Lankan Journal of Applied Statistics"
"issn_l:2598-9677",CAND-014309,"CAND-021082","j-disc-issn-2598-9685;j-disc-issn-2598-9677","Lex Scientia Law Review"
"issn_l:2356-3672",CAND-014354,"CAND-021019","j-disc-issn-2460-0989;j-disc-issn-2356-3672","SKETSA BISNIS"
"issn_l:0854-3844",CAND-014374,"CAND-018544","j-disc-issn-2355-7826;j-disc-issn-0854-3844","BISNIS & BIROKRASI Jurnal Ilmu Administrasi dan Organisasi"
"issn_l:0927-460X",CAND-014498,"CAND-020894","j-disc-issn-2053-5341;j-disc-issn-0927-460X","Utrecht Journal of International and European Law | Merkourios Utrecht Journal of International and European Law"
"issn_l:2656-226X",CAND-014518,"CAND-021026","j-disc-issn-2656-6036;j-disc-issn-2656-226X","AL-FAHIM Jurnal Manajemen Pendidikan Islam"
"issn_l:1230-6428",CAND-014526,"CAND-023003","j-disc-issn-2545-0255;j-disc-issn-1230-6428","Fisheries & Aquatic Life"
"issn_l:2786-5584",CAND-014558,"CAND-021000","j-disc-issn-2786-5592;j-disc-issn-2786-5584","General Surgery"
"issn_l:2746-6965",CAND-014560,"CAND-021139","j-disc-issn-2746-6965;j-disc-issn-2774-2520","INSPIREE Indonesian Sport Innovation Review"
"issn_l:2788-6921",CAND-014610,"CAND-021722","j-disc-issn-2788-6921;j-disc-issn-2707-7330","Política Internacional"
"issn_l:2412-2963",CAND-014626,"CAND-021038","j-disc-issn-2520-9051;j-disc-issn-2412-2963","Yachay - Revista Científico Cultural"
"issn_l:1898-7435",CAND-014652,"CAND-015364","j-disc-issn-2720-7277;j-disc-issn-1898-7435","Social Entrepreneurship Review | Ekonomia Społeczna"
"issn_l:1687-4161",CAND-014679,"CAND-023086","j-disc-issn-2510-523X;j-disc-issn-1687-4161","EURASIP Journal on Information Security"
"issn_l:1512-3901",CAND-014689,"CAND-020999","j-disc-issn-2587-5310;j-disc-issn-1512-3901","Economic Profile"
"issn_l:0328-1396",CAND-014702,"CAND-021136","j-disc-issn-2683-7307;j-disc-issn-0328-1396","Teología"
"issn_l:1870-6703",CAND-014743,"CAND-014886","j-disc-issn-2954-3967;j-disc-issn-1870-6703","Xihmai"
"issn_l:2149-4878",CAND-014894,"CAND-019537","j-disc-issn-2149-6374;j-disc-issn-2149-4878","Kadin ve Demokrasi Dernegi | KADEM Kadın Araştırmaları Dergisi"
"issn_l:2955-1617",CAND-014904,"CAND-021168","j-disc-issn-2955-1617;j-disc-issn-2955-1625","African Scientific Reports"
"issn_l:2407-5957",CAND-014972,"CAND-021084","j-disc-issn-2407-5957;j-disc-issn-2407-4438","CSID Journal of Infrastructure Development"
"issn_l:2088-8686",CAND-014998,"CAND-021072","j-disc-issn-2686-0864;j-disc-issn-2088-8686","SCRIPTA SCORE Scientific Medical Journal"
